Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
United States of America,Region of the Americas of WHO,North America,2017,1,2017-01-02,2017-01-08,39331,39331,0,53,2067,0,4180,6300,60,47,426,533,6833,0,No Report
United States of America,Region of the Americas of WHO,North America,2017,2,2017-01-09,2017-01-15,39411,39411,0,49,2209,0,4699,6957,76,49,492,617,7574,0,No Report
United States of America,Region of the Americas of WHO,North America,2017,3,2017-01-16,2017-01-22,40291,40291,0,57,2252,0,5659,7968,104,69,689,862,8830,0,No Report
United States of America,Region of the Americas of WHO,North America,2017,4,2017-01-23,2017-01-29,43322,43322,0,47,2431,0,6091,8569,123,70,864,1057,9626,0,No Report
United States of America,Region of the Americas of WHO,North America,2017,5,2017-01-30,2017-02-05,46685,46685,0,51,2590,0,7560,10201,182,96,1208,1486,11687,0,No Report
United States of America,Region of the Americas of WHO,North America,2017,6,2017-02-06,2017-02-12,53656,53656,0,71,2972,0,9393,12436,240,126,2028,2394,14830,0,No Report
United States of America,Region of the Americas of WHO,North America,2017,7,2017-02-13,2017-02-19,55005,55005,0,68,2617,0,9426,12111,300,153,2662,3115,15226,0,No Report
United States of America,Region of the Americas of WHO,North America,2017,8,2017-02-20,2017-02-26,53165,53165,0,87,2364,0,8603,11054,353,159,3106,3618,14672,0,No Report
United States of America,Region of the Americas of WHO,North America,2017,9,2017-02-27,2017-03-05,44536,44536,0,54,1491,0,5369,6914,358,149,2500,3007,9921,0,No Report
United States of America,Region of the Americas of WHO,North America,2017,10,2017-03-06,2017-03-12,41473,41473,0,50,1256,0,4311,5617,389,136,2922,3447,9064,0,No Report
United States of America,Region of the Americas of WHO,North America,2017,11,2017-03-13,2017-03-19,39212,39212,0,27,908,0,3502,4437,438,139,3261,3838,8275,0,No Report
United States of America,Region of the Americas of WHO,North America,2017,12,2017-03-20,2017-03-26,38592,38592,0,31,832,0,3297,4160,522,188,3864,4574,8734,0,No Report
United States of America,Region of the Americas of WHO,North America,2017,13,2017-03-27,2017-04-02,35183,35183,0,27,640,0,2316,2983,576,141,3791,4508,7491,0,No Report
